date,y1,y2,y3,y4,y5,y6,y7
2007/12/10,1,4,6,17,19,26,3
2007/12/11,1,3,4,10,18,29,4
2007/12/12,2,6,10,22,30,31,15
2007/12/13,2,11,12,23,29,31,5
2007/12/14,1,6,14,22,25,26,12
2007/12/15,2,3,6,14,31,32,3
2007/12/16,6,11,14,23,26,30,2
2007/12/17,3,6,16,23,26,30,14
2007/12/18,2,6,16,23,30,31,2
2007/12/19,1,3,6,19,21,29,7
2007/12/20,1,4,8,9,14,15,13
2007/12/21,1,2,4,15,17,22,14
2007/12/22,5,7,18,19,22,24,16
2007/12/23,3,7,14,23,25,27,8
2007/12/24,1,12,16,20,22,24,8
2007/12/25,3,5,14,25,26,30,5
2007/12/26,14,18,21,25,28,29,10
2007/12/27,3,8,14,20,24,26,12
2007/12/28,1,5,11,20,22,24,2
2007/12/29,1,5,6,16,25,30,9
2007/12/30,3,5,6,13,20,22,7
2007/12/31,3,6,13,14,19,28,6
2008/1/1,7,9,18,22,23,29,6
2008/1/2,11,12,13,16,23,25,12
2008/1/3,1,7,10,16,22,33,9
2008/1/4,5,7,10,23,28,29,3
2008/1/5,10,18,19,29,32,33,9
2008/1/6,7,8,9,15,22,27,12
2008/1/7,8,11,13,19,28,31,6
2008/1/8,9,10,12,19,22,29,16
2008/1/9,2,6,11,12,19,29,6
2008/1/10,5,10,18,19,30,31,3
2008/1/11,4,19,22,27,30,33,1
2008/1/12,2,5,6,16,28,29,4
2008/1/13,4,7,8,18,23,24,2
2008/1/14,1,4,11,28,31,32,16
2008/1/15,4,8,10,14,18,20,11
2008/1/16,1,21,23,25,31,33,1
2008/1/17,1,14,15,20,23,30,14
2008/1/18,3,6,7,12,25,26,7
2008/1/19,12,15,20,25,27,31,2
2008/1/20,8,9,15,17,30,32,6
2008/1/21,7,12,14,15,17,20,1
2008/1/22,8,14,16,18,21,23,16
2008/1/23,1,3,12,15,19,23,14
2008/1/24,5,10,17,19,29,32,12
2008/1/25,3,10,14,16,22,23,11
2008/1/26,4,6,16,27,29,33,5
2008/1/27,6,12,13,15,18,26,13
2008/1/28,4,10,11,25,30,31,1
2008/1/29,2,14,20,22,30,32,2
2008/1/30,1,2,8,11,14,21,9
2008/2/1,8,9,15,22,30,33,16
2008/2/2,9,16,21,25,26,31,14
2008/2/3,8,10,15,19,23,28,16
2008/2/4,11,18,19,22,24,32,7
2008/2/5,11,20,21,22,24,27,15
2008/2/6,4,5,6,11,21,31,10
2008/2/7,2,6,11,26,28,29,3
2008/2/8,1,14,23,25,29,30,3
2008/2/9,1,16,17,21,27,30,16
2008/2/10,14,15,21,24,27,32,12
2008/2/11,2,6,13,22,29,31,8
2008/2/12,5,6,9,14,21,33,2
2008/2/13,5,13,14,23,25,31,2
2008/2/14,1,7,10,11,26,27,11
2008/2/15,2,3,5,9,13,28,11
2008/2/16,6,15,17,18,23,30,11
2008/2/17,4,5,11,14,28,32,4
2008/2/18,1,6,7,14,18,26,16
2008/2/19,3,7,10,18,21,24,12
2008/2/20,5,10,20,23,26,31,3
2008/2/21,1,17,24,28,32,33,2
2008/2/22,2,14,20,24,28,32,16
2008/2/23,21,22,25,28,29,30,8
2008/2/24,1,6,7,11,13,15,5
2008/2/25,8,13,14,18,23,33,6
2008/2/26,4,6,9,14,20,29,14
2008/2/27,3,14,16,20,31,32,9
2008/2/29,2,6,12,17,25,28,12
2008/3/2,1,19,25,26,27,33,10
2008/3/5,3,7,20,21,25,31,14
2008/3/6,4,7,11,14,29,32,12
2008/3/7,5,8,15,20,27,30,13
2008/3/8,6,14,19,20,21,23,8
2008/3/9,2,5,7,9,11,27,16
2008/3/10,6,10,23,25,26,29,5
2008/3/11,7,11,12,13,18,19,16
2008/3/12,5,9,13,15,18,26,5
2008/3/13,1,8,11,26,28,31,4
2008/3/14,7,18,24,29,31,33,16
2008/3/15,1,14,16,17,20,31,4
2008/3/16,14,18,19,26,30,31,11
2008/3/17,2,20,21,28,31,33,6
2008/3/18,2,7,8,9,17,29,11
2008/3/19,13,14,20,25,27,31,12
2008/3/20,5,9,10,12,17,19,13
2008/3/21,5,10,17,23,26,32,7
2008/3/22,1,8,17,20,21,22,3
2008/3/23,3,10,21,23,27,33,11
